date_played_est,iron_source,enter_type,gold_source,spawn_biome,rta,time_wood,time_iron_pick,time_nether,time_bastion,time_fortress,time_first_portal,time_second_portal,time_stronghold,time_end,igt,gold_dropped,blaze_rods,blazes_killed,flint_picked_up,gravel_mined,deaths_total,jumps,eyes_used,diamond_picks_crafted,ender_pearls_used,obsidian_placed,diamond_sword_crafted,stone_mined,netherrack_mined,trade_enchanted_book, trade_iron_boots,trade_potion,trade_splash_potion,trade_iron_nugget,trade_ender_pearl,trade_string,trade_quartz,trade_obsidian,trade_crying_obsidian,trade_fire_charge,trade_leather,trade_soul_sand,trade_nether_brick,trade_glowstone_dust,trade_gravel,trade_magma_cream,killed_blaze,killed_chicken,killed_cod,killed_cow,killed_creeper,killed_enderman,killed_endermite,killed_ghast,killed_hoglin,killed_iron_golem,killed_pig,killed_piglin,killed_salmon,killed_sheep,killed_skeleton,killed_spider,killed_witch,killed_wither_skeleton,killed_zombie,eaten_bread,eaten_cooked_beef,eaten_cooked_chicken,eaten_cooked_cod,eaten_cooked_mutton,eaten_cooked_porkchop,eaten_cooked_salmon,eaten_enchanted_golden_apple,eaten_golden_apple,eaten_apple,eaten_rotten_flesh,eaten_golden_carrot,eaten_mushroom_stew,travel_walk_on_water,travel_walk,travel_walk_under_water,travel_swim,travel_boat,travel_sprint,seed,igt_2,date_played_est_2,bastion_type,end_fight_type,real_deaths,frame_eyes,run_id,,,,,,,,,,notes,
4/26/2025 22:20:04,Structureless,Lava Pool,Bastion,jungle,0:35:02,0:00:50,0:04:21,0:07:05,0:08:42,0:25:20,0:27:11,0:28:23,0:30:47,0:33:30,0:34:23,349,10,17,0,1,1,1128,18,0,39,30,0,135,228,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,18,0,0,1,1,31,0,0,33,603,17,193,522,1400,-5385494958048593037,0:34:23,04/26/2025 22:20:04,Treasure/Treasure/Treasure,Zero Cycle,0,1,"5,714",FALSE,,,,,,https://www.twitch.tv/couriway/clip/ChillyImpossibleTofuMVGame-PYTNpSzsai4ZO3N8,https://www.twitch.tv/couriway/clip/PlayfulSpinelessCockroachMikeHogu-8n3UotdwjsY70NVc,,"Almost confused jungle overhang with cave spawn, jungle temple spotted, 4 iron 2 gold, fraud ocean with bad boat, ub axe and firecharge in rp, cave for iron, digdown for lava, almost died to bonking on single block on overhang, close trevor, piglins falling to death, broke sharp axe killing magma cubes in bottom, got 20 obby after bottom, high eray towards spawn, got trevored, more annoying magma cubes, long wall dig, got trevored again in 1st ring quadrant, traded for more stuff, finally real fort, broke ub 3 gold axe, y19 cave blind, educated randomly on -135, eye went back on 2nd portal, 3rd portalled, 800 blind dist, 250 blocks from both 2nd and 3rd portals, terrible sh, back 95, seed review - first two trevors were babastion",
4/26/2025 21:42:42,Village,Lava Pool,Bastion,taiga_hills,0:26:06,0:01:21,0:04:20,0:07:18,0:07:40,0:13:56,0:16:01,0:19:42,0:22:13,0:24:01,0:24:59,171,8,18,1,16,0,681,19,0,16,20,0,16,160,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,40,371,37,955,905,906,-6498799876667806804,0:24:59,04/26/2025 21:42:42,Bridge/Treasure,Zero Cycle,0,0,"5,713",FALSE,,,,,,,https://www.twitch.tv/couriway/clip/ThankfulStrangeAlfalfaLitty-tn2wwtQTJ19N-pi8,,"Bad boat with 4 bread, very far desert village with lavapool, 4 iron golem, trolled by villagers for cod strats, mid 7 enter next to bridge, dk route, great trades, rp buried in lava, high eray towards spawner was treasure, left for fort without breaking spawner, very far fort, continuing with rates at start, fell off boat on axis, 0.6 blind, wall to 2nd portal coords, pick almost broke, had to emergency exit way before, dolphin clutch, buried boat so no iron, got cobble on digdown, 700 blocks to sh, 1.8k blind, ravine strongshaft, mob nation in sh - almost died, front 1 in 8 for barely sub 25",
4/26/2025 21:14:13,Full Shipwreck,Magma Ravine,Bastion,plains,0:28:00,0:00:25,0:04:06,0:06:11,0:09:05,0:14:05,0:16:35,0:22:14,0:23:29,0:24:16,0:26:48,95,8,23,1,4,0,977,17,1,22,20,0,51,157,,,,,,,,,,,,,,,,,,23,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,4,5,0,0,0,6,6,0,42,430,32,631,428,859,4553384106431659963,0:26:48,04/26/2025 21:14:13,Stables,Half Bow,0,0,"5,712",FALSE,,,,,,,,,"Very far ship, 1 nugget off 7 iron, 6 carrot, close bt with 1 diamond 8 iron, ocean ravine into 4 diamonds and lava, 6 enter, very far good gap stables, ziglin nation, 17 obby overall, low explosives, close fort, de-javu wither backstab moment but no death, boxed magma cube, 0.3 blind, went on 0.4, started on 2/14, ended on 8/23 , forgot to mine 3 obby, 2rd for pearlhang and got insane strays while mining obby, almost went to wrong coords, hot tourist close to 2nd portal, mesa, still 300 blocks to sh, 2.5k blind, front 90 on small tower, dragon flew, perch for sub 27",
4/26/2025 20:39:38,Village,Lava Pool,Bastion,forest,0:24:53,0:02:06,0:02:44,0:08:31,0:09:35,0:14:07,0:16:30,0:21:38,0:22:25,0:22:57,0:23:51,153,8,11,1,2,0,946,21,0,15,31,0,88,72,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,296,28,314,3,997,-2735088005237129128,0:23:51,04/26/2025 20:39:38,Housing,Zero Cycle,0,1,"5,711",FALSE,,,,,,https://www.twitch.tv/couriway/clip/GoldenEnticingMouseDatSheffy-tJVB3Y59MYRebtP3,https://www.twitch.tv/couriway/clip/AbnegateComfortableArmadilloMcaT-vExrB5IWZGyOR2An,,"250 250 lava spawn, snowy village with closer lava, carrot pick, 5 iron golem, river clay bolan failed once but clutched 2nd time, mid 8 ssv enter, housing, top down manhunt, insane 16 obby single chest, only 5 pearls, had to trade backups, very close fort, spawner plumbing, 8/11 rates, blinded at fort into home portal in ow, returned through to home portal in nether, 0.9 angle, went on pos angle instead of neg and went to wrong coords, 0.7 angle from there, couldnt afford eye breaks so dug down, hit sh, front 94 side setup",
4/26/2025 20:13:01,Structureless,Magma Ravine,Bastion,plains,0:26:41,0:00:51,0:04:35,0:06:19,0:07:53,0:17:23,0:19:39,0:23:01,0:23:55,0:24:35,0:25:35,214,8,17,1,8,1,839,15,0,23,20,0,46,131,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,24,5649,24,730,305,947,4434441578066464820,0:25:35,04/26/2025 20:13:01,Stables/Treasure,Other,0,2,"5,710",FALSE,,,,,,https://www.twitch.tv/couriway/clip/LuckyExuberantSwanPeoplesChamp-F2JAHugYNwLDF0xh,https://www.twitch.tv/couriway/clip/AmazonianDoubtfulJuiceTheRinger-EPP_vZOwExbOeL8R,,"Swamp spawn, very far desert village, 3 ironed by golem, cod strats, mined another iron in magma ravine, good gap stables, scuffed new route, got 7 obby and few pearls, spawner was trevor, traded to 20 obby, diamond pants in bottom, very far sick basalt fort, stray wither nation, 0.9 blind with wandering trader - followed into the nether and got hit by blaze, digdown to sh, backed out of back zero, set up ground but dragon perched",
4/26/2025 19:43:25,Structureless,Magma Ravine,Bastion,beach,0:44:23,0:02:23,0:02:50,0:06:01,0:06:42,0:14:29,0:36:15,0:38:55,0:40:37,0:41:01,0:41:58,312,9,27,2,35,5,1561,18,1,62,20,0,70,105,,,,,,,,,,,,,,,,,,27,0,0,1,0,0,1,1,1,0,4,1,0,5,0,0,0,0,0,0,5,0,3,7,13,2,0,0,0,0,0,0,17,500,26,1350,548,1500,-8219293391395237841,0:41:58,04/26/2025 19:43:25,Bridge/Treasure,Zero Cycle,1,0,"5,709",FALSE,,,,,,,https://www.twitch.tv/couriway/clip/ExcitedThoughtfulTaroBrainSlug-8U90nE15wxsKIdEg,,"Treeless island, very far ship next to monument, swam to single tree island first, maplessed 5 iron bt on it, saw another ship near monument, didnt get donged on ship, close magma ravine with 3 coulmn of diamonds, sub 6 enter next to bridge, useless rp, lots of everything traded, prot 4 rp boots, got trevored, prot 4 boots in bottom as well, 27 chunk fort, another bad rp chest, hot tourist, found fort after lot of searching, pearl clutch with endermite spawn, built too high to stop withers, got backstabbed by wither and died, swam far to another island for wood, got 4 ironed by boat, lavapool spotted. mined iron for basic stuff, re entered nether 23 min in, traded backup gold at bridge for pearls, hit ziglin while pearling, traded bottom, pearl clutch with endermite spawn version 2, got alll trades and left, got back to fort 1k blocks out, obby had burned, right play to trade for everything, 0.7 blind, 7/27 rates(0.66% or 1 in 151), y35 o75 gravel mountains 2nd portal, digdown to sh, massive spike, front 90 for sub 42",
4/26/2025 18:57:15,Structureless,Lava Pool,Bastion,taiga,0:20:42,0:01:08,0:05:06,0:06:19,0:13:02,0:08:15,0:16:31,,0:18:27,0:19:22,0:20:16,77,8,20,1,8,0,850,17,0,12,10,0,66,117,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,14,272,12,110,20,1003,2502990337535046904,0:20:16,04/26/2025 18:57:15,Bridge,Zero Cycle,0,1,"5,708",FALSE,,,,,,,,,"spawned in taiga with pretty close village on pie, LargeFern , got all food needed from chests but no iron, another village, but got cave with iron so went in there instead, dug down for lava, chicken jockey, foud lava so entered around 6:20, got divine, saw fort on the way bastion, decided to do fort first cuz the bastion was near the divine coords, almost died cuz shield sucks, heard piglin from bridge while digging through wall, did cracksmoker on double single, had to go back to chalice to get straggler pigs, didn’t get 20 obbi, but it was fine cuz of divine, about 300 blocks away, got bed from village on the way, strongshaft , still nailed nav, hit caged t94 y99 for sub21, ",
4/26/2025 18:32:49,Buried Treasure w/ tnt,Magma Ravine,Bastion,forest,0:29:38,0:00:04,0:02:50,0:06:21,0:09:10,0:20:45,0:23:52,0:25:53,0:26:19,0:27:43,0:28:29,20,7,17,0,2,3,883,15,1,20,20,0,146,110,,,,,,,,,,,,,,,,,,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,2,0,0,0,0,29,449,37,614,749,889,6971922545068971798,0:28:29,04/26/2025 18:32:49,Stables/Treasure,Zero Cycle,0,1,"5,707",FALSE,,,,,,,https://www.twitch.tv/couriway/clip/TallAntsyBeaverYouDontSay-zIuimdWfHH8ExBfy,,"Boat overworld, went bt for food, had to dig to Narnia for enter, bridged beyond Narnia to get to bastion, final chest clutched for obby, more digging only to get trevored, 29 chunk diagonal spawner, ended up back at og bridge, items scattered on hunger reset, almost lost pearls, 1k blind, dug to backrooms pr, clean zero for sub 30",
4/26/2025 18:01:15,Village,Lava Pool,Bastion,forest,0:29:26,0:01:39,0:02:37,0:06:20,0:07:46,0:20:31,0:22:57,0:24:50,0:26:53,0:27:31,0:28:22,122,8,13,1,15,1,1139,16,1,27,20,0,61,181,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,2,10,0,0,0,0,6,0,0,0,0,0,8,0,67,458,28,80,21,1264,1231720781794563235,0:28:22,04/26/2025 18:01:15,Treasure/Treasure/Treasure,Zero Cycle,0,1,"5,706",FALSE,,,,,,,,,"climbed over mountain to village, golem going on holiday average couriway villager experience big ravine for 6 min enter. Close trevor bastion, diamond pick from bottom first for ""buttery"" treasure route. Beautiful terrain to trevor 2, 25 chunks to trevor 3, hoglin stop off (scared of anchors) on way to full diagonal 28 chunk fort, subspace bubble, 1.1 angle change. caved slow dig up, quick nav hit front 91 zero for sub 30.",
4/26/2025 17:29:43,Structureless,Lava Pool,Bastion,wooded_hills,0:22:35,0:01:38,0:03:04,0:04:24,0:07:32,0:13:05,0:15:11,0:18:34,0:19:42,0:20:28,0:21:38,144,7,16,0,1,0,951,15,0,25,20,0,28,276,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,9,0,18,253,10,232,125,1037,-1872483765108015993,0:21:38,04/26/2025 17:29:43,Bridge,Half Bow,0,2,"5,705",FALSE,,,,,,,,,"Marshmallow seed name (for Animeistro's cat). rp in river into taiga village, 5 iron golem clutch. Cave into giant ravine for 4 min enter. Another 23 chunk bastion bridge chalice poking out, cooked potatoes while trading. Overshot far diagonal buried fort, caved ocean blind, 0.7 full diagonal angle change, went completely wrong direction, caved again. Stronghold did not want to go mid. Dragon flew 90 on buried back caged zero but instaperch and 1 million bed one cycle",
4/26/2025 17:05:05,Village,Lava Pool,Bastion,savanna,0:21:06,0:00:12,0:04:09,0:06:30,0:10:03,0:08:43,0:16:48,0:19:00,0:19:00,0:19:34,0:20:28,122,8,16,1,38,0,680,13,0,12,23,0,40,18,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,14,296,6,96,542,629,-78161693029701214,0:20:28,04/26/2025 17:05:05,Housing,Zero Cycle,0,1,"5,704",FALSE,,,,,,,,,"Ocean ruin off spawn, spent 1 min mining sand for map, 5 iron so had to play village. Insta lava on digdown for 6min enter, 26 chunk bastion across basalt, stumbled into fort on the way, lava housing slowly led down singular pig while draining, insta 20 obby, blaze killing simulator. mesa blind 0.8 angle change into ice pie. immediately heard pr. back side setup for 20:xx",
4/26/2025 11:59:12,Structureless,Lava Pool,Bastion,forest,0:21:00,0:01:15,0:01:47,0:05:44,0:06:33,0:13:52,0:16:31,0:17:42,0:18:39,0:19:15,0:20:08,110,7,21,1,18,1,729,12,0,19,20,0,69,14,,,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,367,3,10,0,893,8287939649208601351,0:20:08,04/26/2025 11:59:12,Stables/Treasure,Zero Cycle,0,3,"5,703",FALSE,,,,,,,,,"Need low 20 before lcq, forest spawn, bell on pie, saw the iron in cave, 3 iron golem, villager in the cave, went digging, found fake lava into ravine, misplaced bed and burned in the lava, good gap single triple, speedbridging race from big magma cube, loved punching babies, good obi from chests but not trades, used pearl to get past hoglin bodyguard, dropper bottom treasure, 1/10 blaze rates, 1.4 blind, x-rayed sh on second portal, mountain silverfish on portal, silly eye formation, buried 56 beautiful zero for low daily 20:xx",
4/26/2025 11:35:59,Structureless,Lava Pool,Bastion,jungle,0:22:20,0:00:20,0:05:35,0:06:54,0:08:21,0:13:44,0:16:27,0:17:58,0:17:59,0:19:59,0:20:52,108,8,15,2,16,0,663,14,0,19,20,0,98,117,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,2,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,49,350,70,257,0,821,-6680872352701180769,0:20:52,04/26/2025 11:35:59,Housing,Zero Cycle,0,1,"5,702",FALSE,,,,,,,https://www.twitch.tv/couriway/clip/ColdbloodedAltruisticArmadilloHotPokket-ZDC8P1Pcfea8Xpvz,,"Spawned in jungle, pivotted to bolaning back to back runs after no iron in cave, killed salmon for food, low 6 enter, open terrain to 18 chunk bastion, 2 boats in hotbar, self-lavaed trying to burn items, 20 obi before starting top down, no spawner in 32 rd, loaded far diagonal basalt fort through wall, ripped 370 blind in 3rd ring, eye spy, dug in portal room, back 95 for sub 21",
